smiles,pic50,scaffold,n_measurements
CC(=O)NCCNCc1cc(C)c(OCc2cccc(-c3cccc(COc4cc(OCc5cncc(C#N)c5)c(CNCCNC(C)=O)cc4C)c3C)c2C)cc1OCc1cncc(C#N)c1,8.52,c1cncc(COc2cccc(OCc3cccc(-c4cccc(COc5cccc(OCc6cccnc6)c5)c4)c3)c2)c1,1
CC(=O)NCCNCc1cc(C)c(OCc2cccc(-c3ccccc3)c2C)cc1OCc1cncc(C#N)c1,8.6,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccc4c(c3)OCCO4)c2C)cc1OCc1cccc(C#N)c1,7.96,c1ccc(COc2cccc(OCc3cccc(-c4ccc5c(c4)OCCO5)c3)c2)cc1,1
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccc4c(c3)OCCO4)c2C)cc1OCc1ccnc(C#N)c1,8.04,c1cc(OCc2ccncc2)cc(OCc2cccc(-c3ccc4c(c3)OCCO4)c2)c1,1
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccc4c(c3)OCCO4)c2C)cc1OCc1cocn1,7.3,c1cc(OCc2cccc(-c3ccc4c(c3)OCCO4)c2)cc(OCc2cocn2)c1,1
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3cccc4c(Oc5cc(OCc6cccc(C#N)c6)c(CNCCNC(C)=O)cc5Cl)ncnc34)c2C)cc1OCc1cccc(C#N)c1,7.21,c1ccc(COc2cccc(OCc3cccc(-c4cccc5c(Oc6cccc(OCc7ccccc7)c6)ncnc45)c3)c2)cc1,1
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3cccc4c3CCN4)c2C)cc1OCc1cccc(C#N)c1,5.87,c1ccc(COc2cccc(OCc3cccc(-c4cccc5c4CCN5)c3)c2)cc1,1
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3cccc4c3CCN4C)c2C)cc1OCc1cccc(C#N)c1,6.06,c1ccc(COc2cccc(OCc3cccc(-c4cccc5c4CCN5)c3)c2)cc1,1
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3cccc4c3CCN4CCCN3CCC(F)C3)c2C)cc1OCc1cccc(C#N)c1,6.7,c1ccc(COc2cccc(OCc3cccc(-c4cccc5c4CCN5CCCN4CCCC4)c3)c2)cc1,1
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3cccc4c3CCN4CCCN3CCC(F)CC3)c2C)cc1OCc1cccc(C#N)c1,6.06,c1ccc(COc2cccc(OCc3cccc(-c4cccc5c4CCN5CCCN4CCCCC4)c3)c2)cc1,1
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3cccc4c3CCN4CCCN3CCC(O)C3)c2C)cc1OCc1cccc(C#N)c1,7.2,c1ccc(COc2cccc(OCc3cccc(-c4cccc5c4CCN5CCCN4CCCC4)c3)c2)cc1,1
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3cccc4c3CCN4CCCN3CCC(O)CC3)c2C)cc1OCC1CCCCC1,5.95,c1cc(OCc2cccc(-c3cccc4c3CCN4CCCN3CCCCC3)c2)cc(OCC2CCCCC2)c1,1
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3cccc4c3CCN4CCCN3CCC(O)CC3)c2C)cc1OCc1cccc(C#N)c1,7.24,c1ccc(COc2cccc(OCc3cccc(-c4cccc5c4CCN5CCCN4CCCCC4)c3)c2)cc1,1
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3cccc4c3CCN4CCCN3CCC(O)CC3)c2C)cc1OCc1ccccc1,6.35,c1ccc(COc2cccc(OCc3cccc(-c4cccc5c4CCN5CCCN4CCCCC4)c3)c2)cc1,1
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3cccc4c3CCN4CCCN3CCC(O)CC3)c2C)cc1OCc1cccnc1,7.1,c1cncc(COc2cccc(OCc3cccc(-c4cccc5c4CCN5CCCN4CCCCC4)c3)c2)c1,1
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3cccc4c3CCN4CCCN3CCC(O)CC3)c2C)cc1OCc1cncc(C#N)c1,7.77,c1cncc(COc2cccc(OCc3cccc(-c4cccc5c4CCN5CCCN4CCCCC4)c3)c2)c1,1
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3cccc4c3CCN4CCCN3CCCC3)c2C)cc1OCc1cccc(C#N)c1,7.11,c1ccc(COc2cccc(OCc3cccc(-c4cccc5c4CCN5CCCN4CCCC4)c3)c2)cc1,1
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3cccc4c3CCN4CCCN3CCCCC3)c2C)cc1OCc1cccc(C#N)c1,6.71,c1ccc(COc2cccc(OCc3cccc(-c4cccc5c4CCN5CCCN4CCCCC4)c3)c2)cc1,1
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3cccc4c3CCN4CCCN3CCOCC3)c2C)cc1OCc1cccc(C#N)c1,6.73,c1ccc(COc2cccc(OCc3cccc(-c4cccc5c4CCN5CCCN4CCOCC4)c3)c2)cc1,1
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3cccc4c3CCN4CCCn3cccc3)c2C)cc1OCc1cccc(C#N)c1,5.61,c1ccc(COc2cccc(OCc3cccc(-c4cccc5c4CCN5CCCn4cccc4)c3)c2)cc1,1
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3cccc4c3CCN4CCN3CCC(O)CC3)c2C)cc1OCc1cccc(C#N)c1,6.49,c1ccc(COc2cccc(OCc3cccc(-c4cccc5c4CCN5CCN4CCCCC4)c3)c2)cc1,1
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1ccc2nonc2c1,6.89,c1ccc(-c2cccc(COc3cccc(OCc4ccc5nonc5c4)c3)c2)cc1,1
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccc(C#N)c1,7.21,c1ccc(COc2cccc(OCc3cccc(-c4ccccc4)c3)c2)cc1,1
