rank,molID,SMILES,pIC50,Solubility,Docking_Score,Tyrosine_PiStacking,TYR56_Interactions,ASP122_HBond,ASP122_SaltBridge,ASP122_Anionic,ASP122_CationPi,ASP122_PiCation,ASP122_Interactions,ASP122_AllContacts,pose_sdf,composite
1,55,NC1CCCCN1C(=O)n1nccc1-c1ccc2[nH]c(-c3nc(N4CCN(C(=O)Cc5ccc(O)nc5)CC4)no3)cc2c1,7.7292,-4.5437,-15.0900002,2,2,0,0,0,0,0,0,7,run8/new_docking/batch_000001/mol_0055_817fb667/mol0_out.sdf,
2,99,O=C(Nc1cccc(C2CCC(C(=O)O)N2)c1)C1CCN(c2noc(-c3cc4cc(-c5ccnn5C(=O)N5CCOCC5)ccc4[nH]3)n2)CC1,7.6869,-4.8189,-15.0900002,2,2,0,0,0,0,0,0,9,run8/new_docking/batch_000001/mol_0099_0490d327/mol0_out.sdf,
3,51,CN1CCCCC1C(=O)n1nccc1-c1ccc2[nH]c(-c3nc(-c4ccc(C(=O)N5CCC(N)CC5)cc4)no3)cc2c1,7.7248,-4.4612,-14.6700001,2,2,0,0,0,0,0,0,5,run8/new_docking/batch_000001/mol_0051_efbb1e07/mol0_out.sdf,
4,21,Nc1nc(CN2CCC(c3noc(-c4cc5cc(-c6ccnn6C(=O)N6CCCNCC6)ccc5[nH]4)n3)CC2)cc(=O)[nH]1,7.7501,-3.9687,-14.5600004,2,2,0,0,0,0,0,0,3,run8/docking/mol21_out.sdf,
5,65,NC(=O)n1nccc1-c1ccc2[nH]c(-c3nc(C4CCN(C(=O)Cc5ccc(S(N)(=O)=O)cc5)C4)no3)cc2c1,7.113,-3.8464,-14.5200005,2,2,0,0,0,0,0,0,7,run8/new_docking/batch_000001/mol_0065_388f3807/mol0_out.sdf,
