chembl_id,stereo_id,conf_id,smiles,source_file,canon_smiles,pred_pIC50
CHEMBL3785854,0,11,Oc1ccc2c(c1)[C@]13CCN(CC4CC4)[C@@H](C2)[C@]1(O)Cc1c([nH]c2ccccc12)C3,t1_f5_p3,Oc1ccc2c(c1)[C@]13CCN(CC4CC4)[C@@H](C2)[C@]1(O)Cc1c([nH]c2ccccc12)C3,7.028437614440918
CHEMBL3927029,0,0,CO[C@H]1CCN(Cc2ccc3c(-c4ccc(F)cc4)cc(C(N)=O)nc3c2)C1,t1_f5_p3,CO[C@H]1CCN(Cc2ccc3c(-c4ccc(F)cc4)cc(C(N)=O)nc3c2)C1,6.60123348236084
CHEMBL3951525,0,9,CC(=O)N1CCN(C(=O)c2ccc3c(-c4nc5ccccc5[nH]4)n[nH]c3c2)CC1,t1_f5_p3,CC(=O)N1CCN(C(=O)c2ccc3c(-c4nc5ccccc5[nH]4)n[nH]c3c2)CC1,6.759950160980225
CHEMBL594312,0,6,CN(Cc1ccc(-n2cc3cccc(C(N)=O)c3n2)cc1)C(=O)C1CNC1,t1_f5_p3,CN(Cc1ccc(-n2cc3cccc(C(N)=O)c3n2)cc1)C(=O)C1CNC1,6.0904860496521
CHEMBL3658693,0,3,Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@@H]4CNC[C@H]4F)ncc23)ccn1,t1_f5_p3,Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@@H]4CNC[C@H]4F)ncc23)ccn1,6.313817024230957
CHEMBL3703704,0,1,Cc1cc(-c2n[nH]c3cc(NC(=O)NC4CCCNC4)ncc23)ccn1,t1_f5_p3,Cc1cc(-c2n[nH]c3cc(NC(=O)NC4CCCNC4)ncc23)ccn1,6.354089260101318
CHEMBL596144,0,3,NC(=O)c1cccc2cn(-c3cccc(C(=O)N4CCCNCC4)c3)nc12,t1_f5_p3,NC(=O)c1cccc2cn(-c3cccc(C(=O)N4CCCNCC4)c3)nc12,6.174747467041016
CHEMBL596143,0,1,NC(=O)c1cccc2cn(-c3ccc(C(=O)N4CCCNCC4)cc3)nc12,t1_f5_p3,NC(=O)c1cccc2cn(-c3ccc(C(=O)N4CCCNCC4)cc3)nc12,6.121956825256348
CHEMBL3938174,0,8,COC1CCC2(CC1)Cc1ccc(-c3cncc(F)c3)cc1C21N=C(N)N(C)C1=O,t1_f5_p3,COC1CCC2(CC1)Cc1ccc(-c3cncc(F)c3)cc1C21N=C(N)N(C)C1=O,6.584832191467285
CHEMBL3907602,1,0,COC1CCC2(CC1)Cc1ccc(-c3cnc(C)s3)cc1C21N=C(N)N(C)C1=O,t1_f5_p3,COC1CCC2(CC1)Cc1ccc(-c3cnc(C)s3)cc1C21N=C(N)N(C)C1=O,6.847436904907227
CHEMBL3671219,0,1,NC1CCCN(c2ccc(N3CC(CNC(=O)c4ccc(Cl)s4)OC3=O)cc2F)C1,t1_f5_p3,NC1CCCN(c2ccc(N3CC(CNC(=O)c4ccc(Cl)s4)OC3=O)cc2F)C1,7.39420747756958
CHEMBL3671218,0,18,CC1(N)CCN(c2ccc(N3CC(CNC(=O)c4ccc(Cl)s4)OC3=O)cc2F)CC1,t1_f5_p3,CC1(N)CCN(c2ccc(N3CC(CNC(=O)c4ccc(Cl)s4)OC3=O)cc2F)CC1,7.226339340209961
CHEMBL4282020,0,0,O=C(NCCc1ccccc1)c1nc2c(OC3CCNCC3)cccc2o1,t1_f5_p3,O=C(NCCc1ccccc1)c1nc2c(OC3CCNCC3)cccc2o1,7.040401458740234
CHEMBL1823635,0,1,COc1ccc(C(NC(=O)c2ccc3cnccc3c2)C2CCNCC2)cc1F,t1_f5_p3,COc1ccc(C(NC(=O)c2ccc3cnccc3c2)C2CCNCC2)cc1F,6.52634859085083
CHEMBL256504,0,2,c1cc(N[C@H]2CCCNC2)nc(-c2cnc3ccccn23)c1,t1_f5_p3,c1cc(N[C@H]2CCCNC2)nc(-c2cnc3ccccn23)c1,6.119300365447998
CHEMBL3775321,0,0,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC[C@H](O)C5)cc34)cc2)cn1,t1_f5_p3,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC[C@H](O)C5)cc34)cc2)cn1,6.478757381439209
CHEMBL3775423,0,0,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC(O)C5)cc34)cc2)cn1,t1_f5_p3,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC(O)C5)cc34)cc2)cn1,6.268665790557861
CHEMBL3928251,0,0,CC(=O)N1CCN(c2nc3cc(NC(=O)N4Cc5ccccc5C4)ccc3[nH]2)CC1,t1_f5_p3,CC(=O)N1CCN(c2nc3cc(NC(=O)N4Cc5ccccc5C4)ccc3[nH]2)CC1,6.513854503631592
CHEMBL80738,0,7,CN1CCC[C@@H]1Cc1c[nH]c2ccc(-n3cnc4cccnc43)cc12,t1_f5_p3,CN1CCC[C@@H]1Cc1c[nH]c2ccc(-n3cnc4cccnc43)cc12,6.303873062133789
CHEMBL76793,0,0,Cc1ccnc2c1ncn2-c1ccc2[nH]cc(C[C@H]3CCCN3C)c2c1,t1_f5_p3,Cc1ccnc2c1ncn2-c1ccc2[nH]cc(C[C@H]3CCCN3C)c2c1,6.591644287109375
