smiles,pic50,scaffold,n_measurements,logS,substructure_match,generalized_match
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccc4c(c3)OCCO4)c2C)cc1OCc1cocn1,7.3,c1cc(OCc2cccc(-c3ccc4c(c3)OCCO4)c2)cc(OCc2cocn2)c1,1,-6.652401447296143,0,0
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCC1CC1,6.0,c1ccc(-c2cccc(COc3cccc(OCC4CC4)c3)c2)cc1,1,-7.459295749664307,0,0
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1ccc2nonc2c1,6.89,c1ccc(-c2cccc(COc3cccc(OCc4ccc5nonc5c4)c3)c2)cc1,1,-7.248516082763672,0,0
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccc(C#N)c1,7.21,c1ccc(COc2cccc(OCc3cccc(-c4ccccc4)c3)c2)cc1,1,-7.76203727722168,0,0
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccnc1,6.26,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1,-7.299902439117432,0,0
CC(=O)NCCNCc1cc(Cl)c(Oc2ncnc3c(-c4ccc5c(c4)OCCO5)cccc23)cc1OCc1cncc(C#N)c1,7.02,c1cncc(COc2cccc(Oc3ncnc4c(-c5ccc6c(c5)OCCO6)cccc34)c2)c1,1,-6.725401878356934,0,0
CC(=O)NCCNCc1cc(Cl)c(Oc2ncnc3c(-c4ccccc4)cccc23)cc1OCc1cncc(C#N)c1,6.73,c1ccc(-c2cccc3c(Oc4cccc(OCc5cccnc5)c4)ncnc23)cc1,1,-7.024742603302002,0,0
CC(=O)NCCNCc1cc([N+](=O)[O-])c(OCc2cccc(-c3ccccc3)c2C)cc1OCc1cccc(C#N)c1,8.09,c1ccc(COc2cccc(OCc3cccc(-c4ccccc4)c3)c2)cc1,1,-7.35236120223999,0,0
CC(=O)NCCNCc1ccc(-c2cccc(-c3ccccc3)c2C)nc1,7.28,c1ccc(-c2cccc(-c3ccccn3)c2)cc1,1,-3.2285070419311523,0,0
CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1,6.21,O=C(c1ccccc1)N1CCc2c(-c3ccccc3)cccc21,1,-3.958419799804687,0,0
CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1C,6.34,O=C(c1ccccc1)N1CCc2c(-c3ccccc3)cccc21,1,-3.8635411262512207,0,0
CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1Cl,6.23,O=C(c1ccccc1)N1CCc2c(-c3ccccc3)cccc21,1,-4.6318769454956055,0,0
CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1O,6.22,O=C(c1ccccc1)N1CCc2c(-c3ccccc3)cccc21,1,-4.4398016929626465,0,0
CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1OCc1ccnc(C#N)c1,6.51,O=C(c1cccc(OCc2ccncc2)c1)N1CCc2c(-c3ccccc3)cccc21,1,-5.778478622436523,0,0
CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1OCc1cncc(C#N)c1,6.81,O=C(c1cccc(OCc2cccnc2)c1)N1CCc2c(-c3ccccc3)cccc21,1,-5.772974967956543,0,0
