smiles,pic50,pic50_mean,pic50_max,pic50_min,n_measurements,pic50_spread,high_conflict
CCc1cc(O)ccc1-c1ccc2c(-c3nc4c([nH]3)CC(C(=O)N3CC(N(C)C)C3)N(C(C)C)C4)n[nH]c2c1,10.49,10.49,10.49,10.49,4,0.0,False
CCc1cc(O)ccc1-c1ccc2c(-c3nc4c([nH]3)CN(C)C(C(=O)N3CCN(CCO)CC3C)C4)n[nH]c2c1,10.49,10.49,10.49,10.49,2,0.0,False
CCCN1Cc2[nH]c(-c3n[nH]c4cc(-c5cc(F)c(O)cc5CC)ccc34)nc2CC1C(=O)N1CCN(CCO)CC1,10.49,10.49,10.49,10.49,1,0.0,False
CCCN1Cc2[nH]c(-c3n[nH]c4cc(-c5ccc(O)cc5CC)ccc34)nc2CC1C(=O)N1CC(C)(N(C)C)C1,10.49,10.49,10.49,10.49,3,0.0,False
CC1CC(Nc2ncccc2-c2cnc3[nH]ccc3n2)CN(S(=O)(=O)CC#N)C1,10.48,10.48,10.48,10.48,1,0.0,False
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(C(=O)N3CCC(N5CCCCC5)CC3)C4)n[nH]c2c1,10.47,10.47,10.47,10.47,1,0.0,False
FC(F)(F)CN1CCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,10.46,10.46,10.46,10.46,1,0.0,False
Cc1c[nH]c2ncc(-c3cccnc3NC3CCCN(S(C)(=O)=O)C3)nc12,10.44,10.44,10.44,10.44,1,0.0,False
CS(=O)(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]cc(C4CC4)c3n2)C1,10.42,10.42,10.42,10.42,1,0.0,False
CC1(C)C(=O)Nc2cc(Nc3nn(C4(CC#N)CCCCC4F)c4cc[nH]c(=O)c34)ccc21,10.4,10.4,10.4,10.4,1,0.0,False
COc1ccn2ncc(C(=O)Nc3c[nH]nc3-c3cc(Cl)ccc3OC(F)F)c2n1,10.4,10.4,10.4,10.4,1,0.0,False
CCc1cc(O)ccc1-c1ccc2c(-c3nc4c([nH]3)CN(C)C(C(=O)N3CCN(C)CC3C)C4)n[nH]c2c1,10.4,10.4,10.4,10.4,1,0.0,False
CCc1cc(O)ccc1-c1ccc2c(-c3nc4c([nH]3)CN(C)C(C(=O)N3CCN(C(=O)OC(C)(C)C)CC3C)C4)n[nH]c2c1,10.4,10.4,10.4,10.4,1,0.0,False
CCCN1Cc2[nH]c(-c3n[nH]c4cc(-c5cc(F)c(O)cc5CC)ccc34)nc2CC1C(=O)N1CCN(C(C)(C)C)CC1,10.4,10.4,10.4,10.4,1,0.0,False
CCc1cc(O)ccc1-c1ccc2c(-c3nc4c([nH]3)CN(C(C)C)C(C(=O)N3CCCN(C)CC3)C4)n[nH]c2c1,10.4,10.4,10.4,10.4,2,0.0,False
CCc1cc(O)ccc1-c1ccc2c(-c3nc4c([nH]3)CN(C(C)C)C(C(=O)N3CCC(N(C)C)C3)C4)n[nH]c2c1,10.4,10.4,10.4,10.4,2,0.0,False
CS(=O)(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]cc(Cl)c3n2)C1,10.4,10.4,10.4,10.4,1,0.0,False
O=C1CSc2cc(-c3n[nH]cc3NC(=O)c3cnn4cccnc34)c(OC(F)F)cc2N1,10.4,10.4,10.4,10.4,1,0.0,False
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CN(CC)C(C(=O)N3CCN(C(C)(C)C)CC3)C4)n[nH]c2c1,10.4,10.4,10.4,10.4,3,0.0,False
C=CCCn1cc(-c2nc(Nc3ccc(NC(=O)CCCCCCC(=O)NO)cc3)nc3[nH]ccc23)cn1,10.39,10.39,10.39,10.39,1,0.0,False
O=S(=O)(CC1CC1)N1CCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,10.38,10.38,10.38,10.38,1,0.0,False
CN(c1ncnc2[nH]ccc12)C1CC(CS(=O)(=O)N2CCn3cccc3C2)C1,10.37,10.37,10.37,10.37,1,0.0,False
O=C(Nc1c[nH]nc1-c1cc(Br)ccc1OC(F)F)c1cnn2cccnc12,10.33,10.33,10.33,10.33,1,0.0,False
COC(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)CC1,10.33,10.33,10.33,10.33,1,0.0,False
Cc1ccc(-c2cnc3[nH]ccc3n2)c(NC2CCCN(S(C)(=O)=O)C2)n1,10.33,10.33,10.33,10.33,1,0.0,False
CCC(CO)Nc1ncc(-c2cnc3[nH]ccc3n2)c(NC2CCCN(S(C)(=O)=O)C2)n1,10.315,10.315,10.36,10.27,2,0.08999999999999986,False
CS(=O)(=O)N1CCCC(Nc2nc(N3CC(C#N)C3)ncc2-c2cnc3[nH]ccc3n2)C1,10.31,10.31,10.31,10.31,1,0.0,False
CC(C)CS(=O)(=O)N1CCCC(Nc2nc(N3CCOCC3)ncc2-c2cnc3[nH]ccc3n2)C1,10.31,10.31,10.31,10.31,1,0.0,False
CC1Sc2cc(-c3n[nH]cc3NC(=O)c3cnn4cccnc34)c(OC(F)F)cc2NC1=O,10.3,10.373333333333333,10.52,10.3,3,0.21999999999999886,False
CC1CNc2cc(OC(F)F)c(-c3n[nH]cc3NC(=O)c3cnn4cccnc34)cc2S1,10.3,10.373333333333333,10.52,10.3,3,0.21999999999999886,False
CN(c1ncnc2[nH]ccc12)C1CC(CS(=O)(=O)CC2(C)CCC2)C1,10.3,10.3,10.3,10.3,1,0.0,False
N=Cc1cc(-c2n[nH]cc2NC(=O)c2cnn3cccnc23)c(OC(F)F)cc1N,10.3,10.3,10.3,10.3,1,0.0,False
CSc1ccc(OC(F)F)c(-c2n[nH]cc2NC(=O)c2cnc3cccnn23)c1,10.3,10.3,10.3,10.3,1,0.0,False
CC(C)S(=O)(=O)c1ccc(Nc2nn(C3(CC#N)CCCCC3F)c3cc[nH]c(=O)c23)cc1,10.3,10.3,10.3,10.3,1,0.0,False
CC1(C)CNc2cc(OC(F)F)c(-c3n[nH]cc3NC(=O)c3cnn4cccnc34)cc2S1,10.3,10.3,10.3,10.3,1,0.0,False
CCCN1Cc2[nH]c(-c3n[nH]c4cc(-c5ccc(O)cc5CC)ccc34)nc2CC1C(=O)N1CCN(CCO)CC1,10.3,10.3,10.3,10.3,2,0.0,False
COC(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,10.285,10.285,10.56,10.01,2,0.5500000000000007,False
O=C(Nc1c[nH]nc1-c1cc2cn[nH]c2cc1OC(F)F)c1cnn2cccnc12,10.28,10.28,10.28,10.28,1,0.0,False
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(C(=O)N3CCOCC3)C4)n[nH]c2c1,10.28,10.28,10.28,10.28,1,0.0,False
CCN(c1ccc(C#N)cn1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccc(C(=O)NCCO)cn1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccc(C(=O)NCc2ccccc2)cc1F)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
Cc1cc(Cl)nc(N(C)C2CCN(c3ncnc4[nH]ccc34)C2)c1C#N,10.26,10.26,10.26,10.26,2,0.0,False
COc1nc(N(C)C2CCN(c3ncnc4[nH]ccc34)C2)ccc1C#N,10.26,10.26,10.26,10.26,2,0.0,False
C=CCN(C1CCCC1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
Cc1cc(N(C)C2CCN(c3ncnc4[nH]ccc34)C2)ncc1C#N,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccc(C#N)cc1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CCCN(c1ccc(C#N)cn1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccc(C(=O)NCC(O)c2ccccc2)cc1F)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccc(-c2nnn[nH]2)cc1F)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccc(C(=O)NC2CC2)cn1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ncnc2ccccc12)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccc(C(=O)NC(CO)c2ccccc2)cn1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,4,0.0,False
CN(c1ccc(C#N)c2ccccc12)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccc(C(=O)NC(CO)c2ccccc2)cc1F)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccc(C(=O)NC(CO)c2ccc(Cl)cc2)cc1F)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccc(C#N)nn1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1c(F)cc(C(=O)NC(CO)c2ccccc2)cc1F)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1cc2cn[nH]c2cn1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccc(C#N)cn1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,6,0.0,False
CN(c1ccc(C#N)cc1F)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
Cc1nc(N(C)C2CCN(c3ncnc4[nH]ccc34)C2)ccc1C#N,10.26,10.26,10.26,10.26,2,0.0,False
CN(C(=O)CC#N)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,8.926666666666668,10.26,6.26,3,4.0,True
CN(c1ccc(S(=O)(=O)C(F)(F)F)cc1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
N#Cc1ccc2c(c1)CCN2C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1cncc(-n2ccnc2)n1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccc(F)cn1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccc(NS(=O)(=O)c2ccc(F)cc2)cn1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1cnc(C#N)cn1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccnc(Cl)n1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,8.926666666666668,10.26,6.26,3,4.0,True
CN(c1ccnc(C#N)c1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccccn1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1cccc(C#N)n1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccc2nc[nH]c2n1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
COc1cc2ncnc(N(C)C3CCN(c4ncnc5[nH]ccc45)C3)c2cc1OC,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccc2[nH]c(=O)[nH]c2n1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CC(NC(=O)c1ccc(N(C)C2CCN(c3ncnc4[nH]ccc34)C2)c(F)c1)c1ccccc1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccc(S(C)(=O)=O)cn1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccc(S(=O)(=O)NCC2CCCO2)cn1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccc(S(=O)(=O)NC2COC2)cn1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
COCC(NC(=O)c1cc(F)c(N(C)C2CCN(c3ncnc4[nH]ccc34)C2)c(F)c1)c1ccccc1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1cnc(N2CCOCC2)cn1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CC(C)CS(=O)(=O)N1CCCC(Nc2nc(N(C)C)ncc2-c2cnc3[nH]ccc3n2)C1,10.26,10.26,10.26,10.26,1,0.0,False
CN(c1ccc(C(=O)Nc2cccc(Cl)c2)cc1F)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1nc(Cl)c(C#N)cc1F)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccc(S(=O)(=O)NC2CC2)cn1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
N#Cc1ccc(NC2CCN(c3ncnc4[nH]ccc34)C2)nc1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccc(C(=O)Nc2ccccc2F)cn1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
COC(=O)c1ccc(N(C)C2CCN(c3ncnc4[nH]ccc34)C2)nc1,10.26,10.26,10.26,10.26,2,0.0,False
CCS(=O)(=O)N(C)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
N#Cc1ccc(N(CC2CC2)C2CCN(c3ncnc4[nH]ccc34)C2)nc1,10.26,10.26,10.26,10.26,2,0.0,False
N#Cc1ccc(N(C2CC2)C2CCN(c3ncnc4[nH]ccc34)C2)nc1,10.26,10.26,10.26,10.26,2,0.0,False
CN(CCC#N)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ncccc1C#N)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccc(C(F)(F)F)cn1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ncc(C#N)cc1Br)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ncc(Br)cn1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccc(C(F)(F)F)nn1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CCS(=O)(=O)Nc1ccc(N(C)C2CCN(c3ncnc4[nH]ccc34)C2)nc1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccc(Cl)cn1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CN(C1CCN(c2ncnc3[nH]ccc23)C1)C1NC(C#N)=CS1,10.26,10.26,10.26,10.26,2,0.0,False
CN(c1ccc(C#N)c(Br)c1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
C#CCN(c1ccc(C#N)cn1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
C#Cc1ccc(N(C)C2CCN(c3ncnc4[nH]ccc34)C2)nc1,10.26,10.26,10.26,10.26,2,0.0,False
