canonical_smiles,pIC50,split
C1=C/CN(Cc2ccccn2)Cc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,5.87,train
C1=C/CNCc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,6.82,train
C1=C/CNc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,5.48,train
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cc(co2)COC/1,6.96,train
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(o2)COC/1,7.34,train
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(s2)COC/1,8.14,train
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccnc(c2)OCC/1,7.75,train
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cncc(c2)COC/1,6.54,train
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2coc(c2)COC/1,7.17,train
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2csc(c2)COC/1,7.77,train
C1=C/COCc2ccc(o2)-c2ccnc(n2)Nc2cccc(c2)COC/1,6.66,test
C1=C/COCc2cncc(c2)-c2ccnc(n2)Nc2cccc(c2)COC/1,6.03,train
C1=C/COc2ccc(o2)-c2ccnc(n2)Nc2ccc(OCCN3CCCC3)c(c2)COC/1,7.34,train
C1=C/Cn2ccc3ccc(cc32)-c2ccnc(n2)Nc2ccc(OCCN3CCCC3)c(c2)COC/1,7.2,train
C1=C/Cn2ccc3ccc(cc32)-c2ccnc(n2)Nc2cccc(c2)COC/1,6.82,train
C1=CCCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)OCC1,5.92,val
C1=CCOCc2cc(ccc2N2CCNCC2)Nc2nccc(n2)-c2cccc(c2)COC1,7.08,train
C1=CCOCc2cc(ccc2N2CCOCC2)Nc2nccc(n2)-c2cccc(c2)COC1,7.22,train
C1=CCOCc2cc(ccc2OCCN2CCCCC2)Nc2nccc(n2)-c2cccc(c2)COC1,7.82,train
C1=CCOCc2cccc(c2)-c2ccnc(n2)Nc2cc(cc(OCCN3CCCC3)c2)COC1,7.32,test
C1=CCOCc2cccc(c2)-c2ccnc(n2)Nc2cc(cc(OCCN3CCOCC3)c2)COC1,7.02,train
C1=CCOc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC1,6.64,train
C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,7.72,train
C=C(Br)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,6.05,train
C=C(C#N)C(O)c1ccc(-c2cccc3nc(NC(=O)C4CC4)nn23)cc1,6.625,val
C=C(C)C(=O)NC1CCC=C(c2ncnc3[nH]cc(-c4ccccc4)c23)C1,5.96,train
C=C(C)CCCNc1nc(Nc2cnn(C(C)(C)C)c2)ncc1C(N)=O,8.52,train
C=C(C)CCNc1nc(Nc2cnn(C(C)(C)C)c2)ncc1C(N)=O,8.82,train
C=C(C)CNc1nc(Nc2cnn(C(C)(C)C)c2)ncc1C(N)=O,8.55,train
C=C(C)CNc1nc(Nc2cnn(C3CCOCC3)c2)ncc1C(N)=O,8.7,train
C=C(C)Cn1nc(C)c(-c2ncnc3[nH]ccc23)n1,7.17,train
C=C(CO)n1cc(-c2cc3ncccc3c(-c3ccn(C4(CC#N)CN(S(C)(=O)=O)C4)n3)n2)cn1,5.89,train
C=C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,7.57,train
C=CC(=O)N(C)c1cc(Nc2ncc(Cl)c(NCCCNC(=O)c3ccc(C#N)cc3)n2)ccc1F,5.85,train
C=CC(=O)N(C)c1cc(Nc2ncc(Cl)c(NCCCNC(=O)c3ccc(F)cc3)n2)ccc1F,5.72,train
C=CC(=O)N1CC=C(c2cccc3nc(NC(=O)C4CC4)nn23)CC1,6.37,val
C=CC(=O)N1CCC(Cn2nc(-c3cc(C(C)(C)O)n(C)n3)c3c(N)ncnc32)CC1,7.83,train
C=CC(=O)N1CCC(Cn2nc(-c3cc(C)n(C)n3)c3c(N)ncnc32)CC1,6.36,train
C=CC(=O)N1CCC(Cn2nc(-c3cc(C=O)n(C)n3)c3c(N)ncnc32)CC1,6.04,train
C=CC(=O)N1CCC(Cn2nc(-c3cnn(C)c3)c3c(N)ncnc32)CC1,6.33,train
C=CC(=O)N1CCC(Cn2nc(-c3cnn(CCOC)c3)c3c(N)ncnc32)CC1,6.3,train
C=CC(=O)N1CCC(Cn2nc(Br)c3c(N)ncnc32)CC1,7.04,test
C=CC(=O)N1CCC(N2NC(c3cc(C(C)(C)O)n(C)n3)c3c(N)ncnc32)C1,8.14,train
C=CC(=O)N1CCC(n2nc(-c3cc(C(C)(C)O)n(C)n3)c3c(N)ncnc32)C1,8.14,train
C=CC(=O)N1CCC(n2nc(-c3cc(C)n(C)n3)c3c(N)ncnc32)C1,7.34,train
C=CC(=O)N1CCC(n2nc(-c3cc(C)n(C)n3)c3c(N)ncnc32)CC1,6.19,train
C=CC(=O)N1CCC(n2nc(-c3cc(C=O)n(C)n3)c3c(N)ncnc32)C1,8.01,train
C=CC(=O)N1CCC(n2nc(-c3cnn(C)c3)c3c(N)ncnc32)C1,6.3,train
C=CC(=O)N1CCC(n2nc(-c3cnn(CCOC)c3)c3c(N)ncnc32)C1,6.29,train
C=CC(=O)N1CCC(n2nc(Br)c3c(N)ncnc32)CC1,7.21,train
C=CC(=O)N1CCCC(Cn2nc(-c3cnn(C)c3)c3c(N)ncnc32)C1,6.09,train
C=CC(=O)N1CCCC(Cn2nc(-c3cnn(CCOC)c3)c3c(N)ncnc32)C1,5.85,train
C=CC(=O)N1CCCC(Cn2nc(Br)c3c(N)ncnc32)C1,7.14,test
C=CC(=O)N1CCCC(N2NC(c3cc(C(C)(C)O)n(C)n3)c3c(N)ncnc32)C1,8.19,train
C=CC(=O)N1CCCC(n2nc(-c3cc(C(C)(C)O)n(C)n3)c3c(N)ncnc32)C1,8.19,train
C=CC(=O)N1CCCC(n2nc(-c3cc(C)n(C)n3)c3c(N)ncnc32)C1,7.24,train
C=CC(=O)N1CCCC(n2nc(-c3cc(C=O)n(C)n3)c3c(N)ncnc32)C1,7.94,train
C=CC(=O)N1CCCC(n2nc(-c3cc(N4CCOCC4)n(C)n3)c3c(N)ncnc32)C1,7.88,train
C=CC(=O)N1CCCC(n2nc(-c3cnn(C)c3)c3c(N)ncnc32)C1,6.4,train
C=CC(=O)N1CCCC(n2nc(-c3cnn(CCOC)c3)c3c(N)ncnc32)C1,6.23,train
C=CC(=O)N1CCCC(n2nc(Br)c3c(N)ncnc32)C1,7.03,train
C=CC(=O)N1CCCC(n2nc(I)c3c(N)ncnc32)C1,7.08,train
C=CC(=O)N1CC[C@@H](C)[C@@H](N(C)c2ncnc3[nH]ccc23)C1,5.69,train
C=CC(=O)NC1C=C(c2ncnc3[nH]cc(-c4ccccc4)c23)CC1,6.18,train
C=CC(=O)NC1C=C(c2ncnc3[nH]cc(-c4ccccc4)c23)CCC1,6.06,train
C=CC(=O)NC1C=C(c2ncnc3[nH]cc(-c4ccco4)c23)CCC1,6.35,train
C=CC(=O)NC1C=C(c2ncnc3[nH]cc(-c4cccs4)c23)CCC1,6.31,train
C=CC(=O)NC1C=C(c2ncnc3[nH]cc(-c4ccoc4)c23)CCC1,6.0,train
C=CC(=O)NC1C=C(c2ncnc3[nH]cc(-c4ccsc4)c23)CCC1,5.92,train
C=CC(=O)NC1CC=C(c2ncnc3[nH]cc(-c4ccccc4)c23)C1,6.06,train
C=CC(=O)NC1CC=C(c2ncnc3[nH]cc(-c4ccco4)c23)C1,6.37,train
C=CC(=O)NC1CCC=C(c2ncnc3[nH]cc(-c4ccccc4)c23)C1,6.33,train
C=CC(=O)NC1CCC=C(c2ncnc3[nH]cc(-c4ccco4)c23)C1,6.37,train
C=CC(=O)NC1CCC=C(c2ncnc3[nH]cc(-c4cccs4)c23)C1,6.32,train
C=CC(=O)NC1CCC=C(c2ncnc3[nH]cc(-c4ccoc4)c23)C1,5.89,train
C=CC(=O)NC1CCC=C(c2ncnc3[nH]cc(-c4ccsc4)c23)C1,6.07,train
C=CC(=O)NCC(=O)Nc1cccc(-c2cc(Nc3cnn(CCOC)c3)ncn2)c1,5.81,train
C=CC(=O)NCc1ccc(Nc2ncc(C)c(-c3cnn(C(C)C)c3)n2)cc1,7.355,train
C=CC(=O)N[C@H]1CCC=C(c2ncnc3[nH]cc(-c4ccco4)c23)C1,6.48,train
C=CC(=O)N[C@H]1CCCC(c2ncnc3[nH]cc(-c4ccco4)c23)C1,5.835,train
C=CC(=O)N[C@H]1CC[C@H](Cn2ccc3cnc(Nc4cnn(CC(=O)OCC)c4)nc32)CC1,6.26,train
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(O[C@@H]3CO[C@H]4[C@@H]3OC[C@H]4O)n2)ccc1N(C)CCN(C)C,5.86,train
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(O[C@@H]3CO[C@H]4[C@@H]3OC[C@H]4O)n2)ccc1N1CCC(N(C)C)C1,6.22,val
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(O[C@@H]3CO[C@H]4[C@@H]3OC[C@H]4O)n2)ccc1N1CCC(N(C)C)CC1,6.36,test
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(O[C@@H]3CO[C@H]4[C@@H]3OC[C@H]4O)n2)ccc1N1CCC(N2CCN(C)CC2)CC1,5.99,train
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(O[C@@H]3CO[C@H]4[C@@H]3OC[C@H]4O)n2)ccc1N1CCC2(CCN(C)CC2)CC1,5.97,test
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(O[C@@H]3CO[C@H]4[C@@H]3OC[C@H]4O)n2)ccc1N1CCN(CC)CC1,6.44,test
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(O[C@@H]3CO[C@H]4[C@@H]3OC[C@H]4O)n2)ccc1N1CCOCC1,5.93,test
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(O[C@@H]3CO[C@H]4[C@@H]3OC[C@H]4O)n2)ccc1N1C[C@@H]2C[C@H]1CO2,6.45,train
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(O[C@@H]3CO[C@H]4[C@@H]3OC[C@H]4O)n2)ccc1N1C[C@H]2C[C@@H]1CN2C,6.28,train
