smiles,pic50,scaffold,n_measurements
C#Cc1ccc(C(=O)c2ccc(OCc3nc4cnc5[nH]ccc5c4n3[C@H]3CC[C@H](CC#N)CC3)cc2)cc1,7.804100347590766,O=C(c1ccccc1)c1ccc(OCc2nc3cnc4[nH]ccc4c3n2C2CCCCC2)cc1,1
C#Cc1ccc(N(C)[C@@H]2CCN(c3ncnc4[nH]ccc34)C2)nc1,10.259637310505756,c1ccc(N[C@@H]2CCN(c3ncnc4[nH]ccc34)C2)nc1,3
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,5.048455006504028,c1ccc(Nc2ncnc3ccccc23)cc1,2
C#Cc1ccn2c(-c3ccnc(SC)n3)c(-c3ccc(F)cc3)nc2n1,4.0,c1ccc(-c2nc3ncccn3c2-c2ccncn2)cc1,1
C#Cc1nc(Nc2cccc(CC(N)=O)c2)nc2[nH]cnc12,6.657577319177793,c1ccc(Nc2ncc3nc[nH]c3n2)cc1,1
C(=C\c1ccco1)/CN1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,6.6020599913279625,C(=C\c1ccco1)/CN1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,2
C/C(=C\C[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@H](OS(=O)(=O)[O-])[C@H]4C[C@H](OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])C[C@]4(C)[C@H]3CC[C@]12C)C(C)(C)C(C)C,5.920818753952375,C1CC[C@@H]2CC[C@H]3[C@@H]4CCCC4CC[C@@H]3C2C1,1
C/C(=C\c1ccc(N(C)C)cc1)[N+](=O)[O-],5.4561801948573425,c1ccccc1,1
C/C(Nc1cccc(-c2cnc3ccccc3n2)c1)=C1/CCOC1=O,5.0,O=C1OCCC1=CNc1cccc(-c2cnc3ccccc3n2)c1,1
C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br,3.3010299956639813,c1ccccc1,1
C/C=C/C(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)CC1,7.1938200260161125,c1ccc(Nc2ccn(C3CCNCC3)n2)cc1,1
C/C=C/C(=O)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1,5.0,c1nc(N[C@@H]2CCCNC2)c2cc[nH]c2n1,1
C/C=C/C(=O)NC1CCC=C(c2ncnc3[nH]cc(-c4ccccc4)c23)C1,6.221848749616356,C1=C(c2ncnc3[nH]cc(-c4ccccc4)c23)CCCC1,1
C/C=C/C(=O)NCC(=O)Nc1cccc(-c2cc(Nc3cnn(CCOC)c3)ncn2)c1,6.052566278112949,c1ccc(-c2cc(Nc3cn[nH]c3)ncn2)cc1,1
C/C=C/C(=O)Nc1ccc(-c2cc(Nc3ccc(N4CCOCC4)cc3)ncn2)cc1,5.66655272550325,c1ccc(-c2cc(Nc3ccc(N4CCOCC4)cc3)ncn2)cc1,1
