smiles,pic50,scaffold,n_measurements
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(CC(=O)NC)c3)ncn2)c1,5.96,c1ccc(-c2cc(Nc3cn[nH]c3)ncn2)cc1,1
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(CCN(C)C)c3)ncn2)c1,5.72,c1ccc(-c2cc(Nc3cn[nH]c3)ncn2)cc1,1
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(CCO)c3)ncn2)c1,5.55,c1ccc(-c2cc(Nc3cn[nH]c3)ncn2)cc1,1
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(CCOC)c3)ncn2)c1,5.59,c1ccc(-c2cc(Nc3cn[nH]c3)ncn2)cc1,1
C/C=C/C(=O)Nc1cccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,5.55,c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,1
C/C=C/C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,6.32,c1ccc(-c2ncnc3[nH]ccc23)cc1,1
C/C=C/CCNc1nc(Nc2cnn(C(C)(C)C)c2)ncc1C(N)=O,8.7,c1cnc(Nc2cn[nH]c2)nc1,1
C/C=C/c1ccccc1Nc1nc(Nc2cnn(C)c2)ncc1C(N)=O,8.68,c1ccc(Nc2ccnc(Nc3cn[nH]c3)n2)cc1,1
C1=C(c2ncnc3[nH]ccc23)CCCC1,6.78,C1=C(c2ncnc3[nH]ccc23)CCCC1,1
C1=C/CN(CC2CC2)Cc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,5.82,C1=C/CN(CC2CC2)Cc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,1
C1=C/CNCc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,6.82,C1=C/CNCc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,1
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cc(co2)COC/1,6.96,C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cc(co2)COC/1,1
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(o2)COC/1,7.34,C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(o2)COC/1,2
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(s2)COC/1,8.14,C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(s2)COC/1,1
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccnc(c2)OCC/1,7.75,C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccnc(c2)OCC/1,1
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cncc(c2)COC/1,6.54,C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cncc(c2)COC/1,1
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2csc(c2)COC/1,7.77,C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2csc(c2)COC/1,1
C1=C/COCc2cncc(c2)-c2ccnc(n2)Nc2cccc(c2)COC/1,6.03,C1=C/COCc2cncc(c2)-c2ccnc(n2)Nc2cccc(c2)COC/1,1
C1=C/COc2ccc(o2)-c2ccnc(n2)Nc2ccc(OCCN3CCCC3)c(c2)COC/1,7.34,C1=C/COc2ccc(o2)-c2ccnc(n2)Nc2ccc(OCCN3CCCC3)c(c2)COC/1,1
C1=CCCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)OCC1,5.92,C1=CCCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)OCC1,1
C1=CCOCc2cc(ccc2N2CCOCC2)Nc2nccc(n2)-c2cccc(c2)COC1,7.22,C1=CCOCc2cc(ccc2N2CCOCC2)Nc2nccc(n2)-c2cccc(c2)COC1,1
C1=CCOCc2cc(ccc2OCCN2CCCCC2)Nc2nccc(n2)-c2cccc(c2)COC1,7.82,C1=CCOCc2cc(ccc2OCCN2CCCCC2)Nc2nccc(n2)-c2cccc(c2)COC1,1
C1=CCOCc2cccc(c2)-c2ccnc(n2)Nc2cc(cc(OCCN3CCCC3)c2)COC1,7.32,C1=CCOCc2cccc(c2)-c2ccnc(n2)Nc2cc(cc(OCCN3CCCC3)c2)COC1,1
C1=CCOCc2cccc(c2)-c2ccnc(n2)Nc2cc(cc(OCCN3CCOCC3)c2)COC1,7.02,C1=CCOCc2cccc(c2)-c2ccnc(n2)Nc2cc(cc(OCCN3CCOCC3)c2)COC1,1
C1=CCOc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC1,6.64,C1=CCOc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC1,1
C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,7.64,C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,14
C=C(Br)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,6.05,c1ccc(-c2ncnc3[nH]ccc23)cc1,1
C=C(C#N)C(O)c1ccc(-c2cccc3nc(NC(=O)C4CC4)nn23)cc1,6.625,O=C(Nc1nc2cccc(-c3ccccc3)n2n1)C1CC1,2
C=C(C)C(=O)NC1CCC=C(c2ncnc3[nH]cc(-c4ccccc4)c23)C1,5.96,C1=C(c2ncnc3[nH]cc(-c4ccccc4)c23)CCCC1,1
C=C(C)CCCNc1nc(Nc2cnn(C(C)(C)C)c2)ncc1C(N)=O,8.52,c1cnc(Nc2cn[nH]c2)nc1,1
C=C(C)CCNc1nc(Nc2cnn(C(C)(C)C)c2)ncc1C(N)=O,8.82,c1cnc(Nc2cn[nH]c2)nc1,1
C=C(C)CNc1nc(Nc2cnn(C(C)(C)C)c2)ncc1C(N)=O,8.55,c1cnc(Nc2cn[nH]c2)nc1,1
C=C(C)CNc1nc(Nc2cnn(C3CCOCC3)c2)ncc1C(N)=O,8.7,c1cnc(Nc2cnn(C3CCOCC3)c2)nc1,1
C=C(C)Cn1nc(C)c(-c2ncnc3[nH]ccc23)n1,7.17,c1nc(-c2cn[nH]n2)c2cc[nH]c2n1,1
C=C(CO)n1cc(-c2cc3ncccc3c(-c3ccn(C4(CC#N)CN(S(C)(=O)=O)C4)n3)n2)cn1,5.89,c1cnc2cc(-c3cn[nH]c3)nc(-c3ccn(C4CNC4)n3)c2c1,1
C=C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,7.57,C=C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,2
C=CC(=O)N(C)c1cc(Nc2ncc(Cl)c(NCCCNC(=O)c3ccc(C#N)cc3)n2)ccc1F,5.85,O=C(NCCCNc1ccnc(Nc2ccccc2)n1)c1ccccc1,1
C=CC(=O)N(C)c1cc(Nc2ncc(Cl)c(NCCCNC(=O)c3ccc(F)cc3)n2)ccc1F,5.72,O=C(NCCCNc1ccnc(Nc2ccccc2)n1)c1ccccc1,1
C=CC(=O)N1CC=C(c2cccc3nc(NC(=O)C4CC4)nn23)CC1,6.37,O=C(Nc1nc2cccc(C3=CCNCC3)n2n1)C1CC1,1
C=CC(=O)N1CCC(Cn2nc(-c3cc(C(C)(C)O)n(C)n3)c3c(N)ncnc32)CC1,7.83,c1ncc2c(-c3cc[nH]n3)nn(CC3CCNCC3)c2n1,1
C=CC(=O)N1CCC(Cn2nc(-c3cc(C)n(C)n3)c3c(N)ncnc32)CC1,6.36,c1ncc2c(-c3cc[nH]n3)nn(CC3CCNCC3)c2n1,1
C=CC(=O)N1CCC(Cn2nc(-c3cc(C=O)n(C)n3)c3c(N)ncnc32)CC1,6.04,c1ncc2c(-c3cc[nH]n3)nn(CC3CCNCC3)c2n1,1
C=CC(=O)N1CCC(Cn2nc(-c3cnn(C)c3)c3c(N)ncnc32)CC1,6.33,c1ncc2c(-c3cn[nH]c3)nn(CC3CCNCC3)c2n1,1
C=CC(=O)N1CCC(Cn2nc(-c3cnn(CCOC)c3)c3c(N)ncnc32)CC1,6.3,c1ncc2c(-c3cn[nH]c3)nn(CC3CCNCC3)c2n1,1
C=CC(=O)N1CCC(Cn2nc(Br)c3c(N)ncnc32)CC1,7.04,c1ncc2cnn(CC3CCNCC3)c2n1,1
